"TIF Number","TIF District","Report Year","Tax Allocation Fund Balance","Property Tax Increment - Current","Property Tax Increment - Cumulative","Interest - Current","Interest - Cumulative","Land/Building - Current","Land/Building - Cumulative","Bond - Current","Bond - Cumulative","Note - Current","Note - Cumulative","Municipal - Current","Municipal - Cumulative","Revenue from Other Sources","Revenue from Private Sources","Private - Current","Cash Expenses","Distribution of Surplus","Transfers - Municipal","Total Expenditure","Net Income","Fund Balance","Description of Debt Obligations","Amount of Original Debt Issuance","Amount Designated - Debt Obligations","Descriptions of Project Costs to be Paid","Amount Designated - Project Costs","Surplus/Deficit"
"T-107","Division/Homan","2017","$6,550,637","$1,186,368","$15,119,086","$102,896","$316,731","$0","$0","$0","$0","$0","$1,000,000","$0","$0","$0","$0","$0","$2,067,488","$68,100","$0","$2,135,588","$-846,324","$5,704,313",,"$0","$0","Restricted for future redevelopment project costs","$5,601,613","$102,700"
"T-108","Humboldt Park Commercial","2017","$8,647,594","$3,416,063","$36,131,589","$111,001","$455,438","$0","$0","$0","$0","$0","$1,150,000","$0","$0","$0","$0","$0","$966,231","$198,600","$0","$1,164,831","$2,362,233","$11,009,827",,"$0","$0","Restricted for future redevelopment project costs","$9,742,527","$1,267,300"
"T-109","Lawrence/Broadway","2017","$15,231,973","$3,714,352","$42,261,717","$237,134","$515,481","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$2,516,451","$5,000,000","$575,800","$8,092,251","$-4,140,765","$11,091,208",,"$0","$0","Restricted for future redevelopment project costs","$11,091,208","$0"
"T-110","Wilson Yard","2017","$13,921,937","$7,260,291","$88,023,230","$182,685","$832,949","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$6,705,975","$0","$0","$6,705,975","$737,001","$14,658,938",,"$0","$0","Restricted for future redevelopment project costs","$14,658,938","$0"
"T-111","105th/Vincennes","2017","$1,022,197","$1,190,748","$4,950,382","$5,492","$25,595","$0","$0","$0","$0","$0","$0","$0","$1,613,523","$0","$0","$0","$22,261","$0","$0","$22,261","$1,173,979","$2,196,176",,"$0","$0","Restricted for future redevelopment project costs","$2,196,176","$0"
"T-112","79th/Southwest Highway","2017","$9,157,430","$1,073,599","$16,537,560","$144,299","$313,243","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$891,085","$2,544,000","$0","$3,435,085","$-2,217,187","$6,940,243",,"$0","$0","Restricted for future redevelopment project costs","$4,767,443","$2,172,800"
"T-113","Roseland/Michigan","2017","$1,192,152","$341,769","$6,564,963","$14,524","$82,760","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$9,199","$0","$233,186","$242,385","$113,908","$1,306,060",,"$0","$0","Restricted for future redevelopment project costs","$1,306,060","$0"
"T-114","119th/Halsted","2017","$2,807,379","$1,176,017","$9,243,730","$37,931","$155,423","$0","$0","$0","$0","$0","$873,905","$0","$97,500","$0","$0","$0","$413,129","$68,100","$0","$481,229","$732,719","$3,540,098",,"$0","$0","Restricted for future redevelopment project costs","$3,329,598","$210,500"
"T-115","Chicago/Central Park","2017","$38,533,516","$5,640,775","$69,090,633","$603,907","$4,186,439","$0","$0","$0","$129,651,674","$0","$750,000","$7,531,473","$83,256,948","$0","$0","$0","$17,255,380","$0","$0","$17,255,380","$-3,101,697","$35,431,819","Restricted for debt service","$70,125,000","$11,945,080","Restricted for future redevelopment project costs","$23,486,739","$0"
"T-116","Lawrence/Pulaski","2017","$6,174,641","$1,212,211","$17,054,567","$98,006","$330,482","$0","$0","$0","$0","$0","$0","$0","$2,900,000","$0","$0","$0","$1,900,169","$77,300","$0","$1,977,469","$-667,252","$5,507,389",,"$0","$0","Restricted for future redevelopment project costs","$5,507,389","$0"
"T-117","47th/Ashland","2017","$10,677,603","$2,227,330","$31,643,230","$155,947","$863,115","$0","$0","$0","$19,970,981","$0","$0","$0","$2,431,313","$0","$0","$0","$3,367,569","$0","$0","$3,367,569","$-845,908","$9,831,695","Restricted for debt service","$18,675,000","$1,678,760","Restricted for future redevelopment project costs","$8,152,935","$0"
"T-118","47th/King Drive","2017","$21,037,610","$6,883,489","$85,364,169","$315,608","$1,323,329","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$5,680,645","$440,000","$300,000","$6,420,645","$780,252","$21,817,862",,"$0","$0","Restricted for future redevelopment project costs","$17,709,562","$4,108,300"
"T-119","Lakefront","2017","$867,905","$390,025","$3,122,825","$11,265","$24,878","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$248,067","$0","$0","$248,067","$153,223","$1,021,128",,"$0","$0","Restricted for future redevelopment project costs","$1,021,128","$0"
"T-121","47th/Halsted","2017","$14,598,891","$2,920,143","$35,517,794","$226,699","$625,268","$0","$0","$0","$0","$0","$0","$0","$3,950,064","$0","$0","$0","$2,644,702","$0","$2,500,000","$5,144,702","$-1,997,856","$12,601,035",,"$0","$0","Restricted for future redevelopment project costs","$12,201,035","$400,000"
"T-122","Drexel Boulevard","2017","$631,583","$358,214","$3,647,847","$7,805","$11,603","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$500,000","$0","$500,000","$-133,981","$497,602",,"$0","$0","Restricted for future redevelopment project costs","$497,602","$0"
"T-123","Avalon Park/South Shore","2017","$2,012,077","$330,173","$7,390,229","$27,853","$122,673","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$18,625","$0","$0","$18,625","$339,401","$2,351,478",,"$0","$0","Restricted for future redevelopment project costs","$2,351,478","$0"
"T-124","67th/Cicero","2017","$1,812,191","$35,567","$3,229,171","$25,397","$42,697","$0","$0","$0","$0","$0","$0","$0","$3,284,023","$0","$0","$0","$176,571","$15,900","$0","$192,471","$-131,507","$1,680,684",,"$0","$0","Restricted for future redevelopment project costs","$1,659,384","$21,300"
"T-125","119th/I-57","2017","$5,984,635","$4,572,379","$25,605,646","$71,913","$197,160","$0","$0","$0","$0","$0","$1,000,000","$0","$950,000","$0","$0","$0","$1,980,989","$222,700","$0","$2,203,689","$2,440,603","$8,425,238",,"$0","$0","Restricted for future redevelopment project costs","$8,425,238","$0"
"T-126","Madden/Wells","2017","$4,415,861","$1,101,175","$10,139,566","$61,112","$98,553","$0","$0","$0","$0","$0","$0","$0","$1,051,820","$0","$0","$0","$706,620","$0","$0","$706,620","$455,667","$4,871,528",,"$0","$0","Restricted for future redevelopment project costs","$4,871,528","$0"
"T-127","87th/Cottage Grove","2017","$3,211,092","$1,553,795","$24,271,150","$73,122","$359,735","$0","$0","$0","$0","$0","$0","$0","$625,000","$0","$0","$0","$626,291","$0","$1,892,677","$2,518,968","$-892,051","$2,319,041",,"$0","$0","Restricted for future redevelopment project costs","$2,319,041","$0"
"T-128","Commercial Avenue","2017","$6,666,517","$984,274","$18,038,627","$92,654","$405,865","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$66,553","$52,500","$0","$119,053","$957,875","$7,624,392",,"$0","$0","Restricted for future redevelopment project costs","$7,540,492","$83,900"
"T-129","Diversey/Narragansett","2017","$3,944,901","$1,406,381","$24,398,022","$46,292","$144,095","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$1,605,855","$122,600","$0","$1,728,455","$-275,782","$3,669,119",,"$0","$0","Restricted for future redevelopment project costs","$3,049,619","$619,500"
"T-130","Edgewater/Ashland","2017","$2,818,157","$1,151,739","$6,771,432","$33,392","$236,937","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$21,027","$0","$0","$21,027","$1,164,104","$3,982,261",,"$0","$0","Restricted for future redevelopment project costs","$3,982,261","$0"
"T-131","35th/State","2017","$1,234,839","$2,641,807","$15,712,623","$10,491","$90,195","$0","$0","$0","$0","$0","$0","$0","$3,500,000","$0","$0","$0","$1,669,534","$0","$0","$1,669,534","$982,764","$2,217,603",,"$0","$0","Restricted for future redevelopment project costs","$2,157,603","$60,000"
"T-134","Devon/Sheridan","2017","$3,590,278","$119,196","$4,656,547","$51,355","$131,856","$0","$0","$0","$0","$0","$500,000","$0","$3,136,000","$0","$0","$0","$1,937","$0","$0","$1,937","$262,801","$3,853,079",,"$0","$0","Restricted for future redevelopment project costs","$3,853,079","$0"
"T-135","Pratt/Ridge Industrial Park Conservation Area","2017","$1,022,346","$346,404","$2,323,201","$13,835","$21,847","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$8,467","$0","$0","$8,467","$351,772","$1,374,118",,"$0","$0","Restricted for future redevelopment project costs","$1,374,118","$0"
"T-136","47th/State","2017","$11,094,071","$1,380,662","$17,023,484","$161,028","$310,256","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$30,847","$194,000","$0","$224,847","$1,316,843","$12,410,914",,"$0","$0","Restricted for future redevelopment project costs","$9,063,514","$3,347,400"
"T-139","Ravenswood Corridor","2017","$6,041,692","$1,457,769","$10,102,082","$100,315","$171,206","$0","$0","$0","$0","$0","$0","$0","$500,000","$0","$0","$0","$283,624","$5,500,000","$0","$5,783,624","$-4,221,820","$1,819,872",,"$0","$0","Restricted for future redevelopment project costs","$1,819,872","$0"
"T-140","79th/Cicero","2017","$884,892","$266,413","$4,597,658","$7,745","$13,546","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$455,828","$31,300","$0","$487,128","$-212,970","$671,922",,"$0","$0","Restricted for future redevelopment project costs","$630,022","$41,900"
"T-141","26th/King Drive","2017","$1,192,949","$834,188","$6,596,444","$13,199","$25,508","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$659,176","$0","$0","$659,176","$188,211","$1,381,160",,"$0","$0","Restricted for future redevelopment project costs","$1,381,160","$0"
"T-142","Western/Rock Island","2017","$1,320,019","$663,934","$11,855,235","$18,537","$121,537","$0","$0","$0","$0","$0","$0","$1,500,000","$3,200,000","$0","$0","$0","$2,486,571","$0","$0","$2,486,571","$-298,167","$1,021,852",,"$0","$0","Restricted for future redevelopment project costs","$1,021,852","$0"
"T-143","63rd/Ashland","2017","$4,347,845","$913,482","$6,941,606","$62,631","$97,932","$0","$0","$0","$0","$0","$0","$0","$4,100,000","$0","$0","$0","$401,800","$70,100","$0","$471,900","$504,213","$4,852,058",,"$0","$0","Restricted for future redevelopment project costs","$4,852,058","$0"
"T-144","Harrison/Central","2017","$659,003","$319,077","$4,343,689","$7,922","$47,629","$0","$0","$0","$0","$0","$1,000,000","$576,000","$7,348,645","$0","$0","$0","$295,716","$0","$0","$295,716","$607,283","$1,266,286",,"$0","$0","Restricted for future redevelopment project costs","$1,266,286","$0"
"T-145","73rd/University","2017","$976,677","$322,434","$4,188,286","$11,089","$56,966","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$17,154","$20,900","$0","$38,054","$295,469","$1,272,146",,"$0","$0","Restricted for future redevelopment project costs","$1,239,146","$33,000"
"T-146","Touhy/Western","2017","$3,720,196","$321,536","$4,162,465","$46,481","$766,587","$0","$0","$0","$25,769,247","$0","$0","$1,940,921","$16,038,151","$0","$0","$0","$2,400,792","$0","$0","$2,400,792","$20,152","$3,740,348","Restricted for debt service","$7,040,000","$2,444,244","Restricted for future redevelopment project costs","$1,296,104","$0"
"T-147","LaSalle Central","2017","$54,433,791","$35,644,502","$204,458,429","$809,995","$1,472,895","$0","$0","$0","$0","$0","$0","$0","$8,600,000","$0","$0","$0","$26,047,388","$15,000,000","$0","$41,047,388","$-4,450,998","$49,982,793",,"$0","$0","Restricted for future redevelopment project costs","$34,982,793","$15,000,000"
"T-148","Harlem Industrial Park Conservation Area","2017","$426,844","$-706","$971,268","$6,809","$15,797","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$14,216","$0","$0","$14,216","$-8,113","$418,731",,"$0","$0","Restricted for future redevelopment project costs","$418,731","$0"
"T-149","Stevenson Brighton","2017","$4,365,614","$1,872,409","$8,566,019","$146,243","$141,950","$0","$0","$0","$0","$0","$0","$0","$2,000,000","$0","$0","$0","$4,542,954","$0","$0","$4,542,954","$-2,524,302","$1,841,312",,"$0","$0","Restricted for future redevelopment project costs","$1,841,312","$0"
"T-150","Addison South","2017","$12,263,328","$3,578,315","$24,251,054","$198,970","$307,076","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$4,251,139","$212,900","$350,000","$4,814,039","$-1,036,754","$11,226,574",,"$0","$0","Restricted for future redevelopment project costs","$9,677,274","$1,549,300"
"T-151","Armitage/Pulaski","2017","$829,495","$126,230","$1,757,685","$14,652","$31,348","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$62,747","$0","$0","$62,747","$78,135","$907,630",,"$0","$0","Restricted for future redevelopment project costs","$907,630","$0"
"T-152","Little Village Industrial Corridor","2017","$1,233,050","$-395","$2,079,430","$20,056","$43,817","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$6,007","$0","$0","$6,007","$13,654","$1,246,704",,"$0","$0","Restricted for future redevelopment project costs","$1,246,704","$0"
"T-153","Elston/Armstrong Industrial Corridor","2017","$790,274","$387,616","$3,148,486","$13,632","$33,379","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$202,681","$17,000","$0","$219,681","$181,567","$971,841",,"$0","$0","Restricted for future redevelopment project costs","$939,341","$32,500"
"T-154","Pershing/King","2017","$168,695","$0","$445,664","$2,670","$9,858","$0","$0","$0","$0","$0","$0","$0","$7,025,826","$0","$0","$0","$3,951","$0","$0","$3,951","$-1,281","$167,414",,"$0","$0","Restricted for future redevelopment project costs","$167,414","$0"
"T-155","79th/Vincennes","2017","$1,680,093","$94,910","$2,677,729","$24,402","$57,785","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$5,676","$6,000","$0","$11,676","$107,636","$1,787,729",,"$0","$0","Restricted for future redevelopment project costs","$1,787,729","$0"
"T-156","Austin Commercial","2017","$4,504,064","$701,734","$9,237,629","$69,470","$118,639","$0","$0","$0","$0","$0","$0","$0","$235,000","$0","$0","$0","$737,123","$41,200","$0","$778,323","$-7,119","$4,496,945",,"$0","$0","Restricted for future redevelopment project costs","$4,496,945","$0"
"T-157","Hollywood/Sheridan","2017","$1,001,258","$11,590","$2,544,328","$26,327","$64,536","$0","$0","$0","$0","$0","$0","$575,800","$10,924,448","$0","$0","$0","$496,384","$0","$0","$496,384","$117,333","$1,118,591",,"$0","$0","Restricted for future redevelopment project costs","$1,118,591","$0"
"T-158","Weed/Fremont","2017","$1,097,222","$818,305","$4,082,325","$9,241","$10,201","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$665,251","$0","$0","$665,251","$162,295","$1,259,517",,"$0","$0","Restricted for future redevelopment project costs","$1,259,517","$0"
"T-160","Kennedy/Kimball","2017","$380,844","$7,671","$964,883","$6,182","$13,971","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$3,813","$0","$0","$3,813","$10,040","$390,884",,"$0","$0","Restricted for future redevelopment project costs","$390,884","$0"
"T-161","Ogden/Pulaski","2017","$3,363,722","$-27,612","$7,642,294","$65,728","$130,448","$0","$0","$0","$0","$0","$0","$1,000,000","$1,000,000","$0","$0","$0","$273,862","$0","$0","$273,862","$764,254","$4,127,976",,"$0","$0","Restricted for future redevelopment project costs","$4,127,976","$0"
"T-163","Archer/Western","2017","$672,319","$20,544","$1,160,109","$10,706","$21,128","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$2,917","$0","$0","$2,917","$28,333","$700,652",,"$0","$0","Restricted for future redevelopment project costs","$700,652","$0"
"T-164","Little Village East","2017","$361,888","$-92","$464,978","$6,196","$11,297","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$6,254","$0","$0","$6,254","$-150","$361,738",,"$0","$0","Restricted for future redevelopment project costs","$361,738","$0"
"T-165","Irving Park/Elston","2017","$455,713","$-1,864","$935,088","$7,560","$16,103","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$2,588","$0","$0","$2,588","$3,108","$458,821",,"$0","$0","Restricted for future redevelopment project costs","$458,821","$0"
"T-166","North Pullman","2017","$1,795,581","$776,261","$4,121,215","$25,284","$35,155","$0","$0","$0","$0","$0","$0","$233,186","$15,733,186","$0","$0","$0","$1,059,825","$0","$0","$1,059,825","$-25,094","$1,770,487",,"$0","$0","Restricted for future redevelopment project costs","$1,770,487","$0"
"T-167","Avondale","2017","$711,453","$1,491","$516,880","$-14,736","$1,589","$0","$0","$0","$0","$0","$0","$1,900,000","$2,900,000","$0","$0","$0","$189,098","$0","$0","$189,098","$1,697,657","$2,409,110",,"$0","$0","Restricted for future redevelopment project costs","$2,409,110","$0"
"T-169","Ewing Avenue","2017","$1,457,870","$211,794","$1,513,340","$1,156","$34,297","$0","$0","$0","$0","$0","$0","$0","$6,508,056","$0","$0","$0","$1,413,826","$0","$0","$1,413,826","$-1,200,876","$256,994",,"$0","$0","Restricted for future redevelopment project costs","$256,994","$0"
"T-171","West Woodlawn","2017","$483,021","$111","$97,362","$8,458","$17,242","$0","$0","$0","$0","$0","$0","$0","$1,500,000","$0","$0","$0","$189,919","$0","$0","$189,919","$-181,350","$301,671",,"$0","$0","Restricted for future redevelopment project costs","$301,671","$0"
"T-172","Randolph/Wells","2017","$679,744","$484,830","$1,736,569","$9,335","$14,909","$0","$0","$0","$0","$0","$0","$0","$29,632,000","$0","$0","$0","$468,811","$0","$0","$468,811","$25,354","$705,098",,"$0","$0","Restricted for future redevelopment project costs","$705,098","$0"
"T-173","Montrose/Clarendon","2017","$623,819","$178,392","$820,117","$8,150","$8,284","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$6,139","$0","$0","$6,139","$180,403","$804,222",,"$0","$0","Restricted for future redevelopment project costs","$804,222","$0"
"T-174","67th/Wentworth","2017","$614,406","$0","$0","$10,325","$-269","$0","$0","$0","$0","$0","$0","$0","$625,000","$0","$0","$0","$0","$0","$0","$0","$10,325","$624,731",,"$0","$0","Restricted for future redevelopment project costs","$624,731","$0"
"T-175","51st/Lake Park","2017","$0","$194,152","$194,152","$-1,799","$-1,799","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$4,529","$0","$0","$4,529","$187,824","$187,824",,"$0","$0","Restricted for future redevelopment project costs","$187,824","$0"
"T-176","107th/Halsted","2017","$1,411,668","$707,201","$1,149,041","$17,974","$-3,262","$0","$0","$0","$0","$0","$0","$0","$1,000,000","$0","$0","$0","$55,285","$0","$0","$55,285","$669,890","$2,081,558",,"$0","$0","Restricted for future redevelopment project costs","$2,081,558","$0"
"T-177","Foster/California","2017","$9,319","$24,229","$24,229","$179","$6,498","$0","$0","$0","$0","$0","$0","$926,666","$4,911,496","$0","$0","$0","$937,193","$0","$0","$937,193","$13,881","$23,200",,"$0","$0","Restricted for future redevelopment project costs","$23,200","$0"
"T-178","Washington Park","2017","$115,759","$401,366","$526,174","$-3,117","$-3,764","$0","$0","$0","$0","$0","$0","$300,000","$300,000","$0","$0","$0","$8,915","$0","$0","$8,915","$689,334","$805,093",,"$0","$0","Restricted for future redevelopment project costs","$805,093","$0"
"T-179","Diversey/Chicago River","2017","$0","$0","$0","$-4,625","$-4,625","$0","$0","$0","$0","$0","$0","$350,000","$350,000","$0","$0","$0","$0","$0","$0","$0","$345,375","$345,375",,"$0","$0","Restricted for future redevelopment project costs","$345,375","$0"
"T-180","Red Purple Modernization Phase One (Transit TIF)","2017",,"$8,333,898","$8,333,898","$-60,815","$-60,815","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$118,875","$0","$0","$118,875","$8,154,208","$8,154,208",,"$0","$0","Restricted for future redevelopment project costs","$8,154,208","$0"
